Spring Reverb Parts List v1


Name        Type

U1          TL072 OpAmp
U2          TL072 OpAmp

D1          Diode 1N4007

C1          Ceramic capacitor 100nF
C2          Electrolytic Capacitor 10uF
C3          Electrolytic Capacitor 10uF
C4          Ceramic capacitor 4,7nF
C5          Ceramic capacitor 22nF
C6          Ceramic Capactior 100nF
C7          Electrolytic Capacitor 47uF
C8          Electrolytic capacitor 100uF
C9          Ceramic capacitor 100nF

R1          Resistor 470k ohms
R2          Resistor 470k ohms
R3          Resistor 1M ohms
R4          Resistor 680 ohms
R6          Resistor 47k ohms
R6          Resistor 47k ohms
R7          Resistor 10k ohms
R8          Resistor 6k8 ohms
R9          Resistor 470k ohms
R10         Resistor 470k ohms

RV1         Potentiometer B10k ohms
RV2         Potentiometer B100k ohms

S1          2SPDT toggle switch
S2          2SPDT toggle switch

T1          Accutronics 8BB2C1B spring tank
T2          Accutronics 4BB3C1B spring tank
